User ID,Subscription Type,BASIC,STANDARD,,,,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
1,Basic,999,22,2,932,,10,15-01-22,10/6/2023,United States,28,Male,Smartphone,1 Month
2,Premium,998,22,2,932,,15,5/9/2021,22-06-23,Canada,35,Female,Tablet,1 Month
3,Standard,998,22,2,927,,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,1 Month
4,Standard,998,23,2,927,,12,10/7/2022,26-06-23,Australia,51,Female,Laptop,1 Month
5,Basic,998,23,2,917,,10,1/5/2023,28-06-23,Germany,33,Male,Smartphone,1 Month
6,Premium,997,22,2,917,,15,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month
7,Standard,997,23,2,927,,12,9/12/2021,25-06-23,Brazil,46,Male,Tablet,1 Month
8,Basic,997,23,2,927,,10,2/4/2023,24-06-23,Mexico,39,Female,Laptop,1 Month
9,Standard,996,23,2,934,,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,1 Month
10,Premium,996,23,2,934,,15,7/1/2023,22-06-23,Italy,44,Female,Smart TV,1 Month
11,Basic,996,23,2,917,,10,16-05-22,22-06-23,United States,31,Female,Smartphone,1 Month
12,Premium,995,23,2,886,,15,23-03-23,28-06-23,Canada,45,Male,Tablet,1 Month
13,Standard,995,24,2,914,,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,1 Month
14,Basic,995,25,3,866,,10,1/8/2022,26-06-23,Australia,27,Male,Smartphone,1 Month
15,Standard,994,24,3,907,,12,9/5/2023,28-06-23,Germany,38,Female,Smart TV,1 Month
16,Premium,994,24,3,869,,15,7/4/2022,27-06-23,France,36,Male,Tablet,1 Month
17,Basic,994,25,3,909,,10,24-01-22,25-06-23,Brazil,30,Female,Laptop,1 Month
18,Standard,993,25,3,879,,12,18-10-21,24-06-23,Mexico,43,Male,Smartphone,1 Month
19,Premium,993,25,3,926,,15,15-02-23,23-06-23,Spain,32,Female,Smart TV,1 Month
20,Basic,993,25,3,894,,10,27-05-23,22-06-23,Italy,41,Male,Tablet,1 Month
21,Premium,992,24,3,930,,15,10/6/2023,22-06-23,United States,26,Female,Laptop,1 Month
22,Basic,992,25,3,904,,10,22-07-22,28-06-23,Canada,34,Male,Smartphone,1 Month
23,Standard,991,24,2,904,,12,5/12/2021,27-06-23,United Kingdom,49,Female,Smart TV,1 Month
24,Standard,991,24,3,886,,12,3/4/2022,26-06-23,Australia,31,Male,Tablet,1 Month
25,Basic,991,25,3,914,,10,14-03-23,28-06-23,Germany,40,Female,Laptop,1 Month
26,Premium,990,24,3,915,,15,12/1/2022,27-06-23,France,29,Male,Smartphone,1 Month
27,Basic,990,24,3,943,,10,29-08-22,25-06-23,Brazil,47,Female,Smart TV,1 Month
28,Standard,989,24,3,947,,12,27-09-21,24-06-23,Mexico,33,Male,Tablet,1 Month
29,Premium,989,24,3,992,,15,19-12-22,23-06-23,Spain,36,Female,Laptop,1 Month
30,Basic,989,24,3,956,,10,17-05-23,22-06-23,Italy,42,Male,Smartphone,1 Month
31,Premium,988,24,3,999,,15,3/2/2023,22-06-23,United States,28,Female,Smart TV,1 Month
32,Basic,988,24,3,971,,10,7/7/2022,28-06-23,Canada,37,Male,Tablet,1 Month
33,Standard,987,23,3,971,,12,21-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month
34,Standard,987,24,3,930,,12,25-05-22,26-06-23,Australia,29,Male,Smartphone,1 Month
35,Basic,987,24,3,976,,10,11/4/2023,28-06-23,Germany,39,Female,Smart TV,1 Month
36,Premium,986,23,3,937,,15,1/3/2022,27-06-23,France,35,Male,Tablet,1 Month
37,Basic,986,24,3,974,,10,14-09-22,25-06-23,Brazil,45,Female,Laptop,1 Month
38,Standard,985,23,3,958,,12,5/11/2021,24-06-23,Mexico,32,Male,Smartphone,1 Month
39,Premium,985,24,3,958,,15,28-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month
40,Basic,985,24,3,931,,10,7/3/2023,22-06-23,Italy,48,Male,Tablet,1 Month
41,Premium,984,23,3,931,,15,20-01-23,22-06-23,United States,31,Female,Laptop,1 Month
42,Basic,984,24,3,949,,10,15-06-22,28-06-23,Canada,40,Male,Smartphone,1 Month
43,Standard,983,23,2,949,,12,7/2/2022,27-06-23,United Kingdom,36,Female,Smart TV,1 Month
44,Standard,983,24,2,913,,12,26-04-22,26-06-23,Australia,29,Male,Tablet,1 Month
